City,Summary,Image Link
"St. John's, Antigua and Barbuda","St. John's is the capital and largest city of Antigua and Barbuda, part of the West Indies in the Ca",https://gallica.bnf.fr/iiif/ark:/12148/btv1b53103408m/f1/full/full/0/native.jpg
"Nassau, The Bahamas",Nassau ( NASS-aw) is the capital and largest city of the Bahamas. It is located on the island of New,"https://iiif.wellcomecollection.org/image/L0054922.jpg/full/512,/0/default.jpg"
Bridgetown,Bridgetown (UN/LOCODE: BB BGI) is the capital and largest city of Barbados. Formerly The Town of Sai,https://repository.dri.ie/images/95945893n:5999w8399/full/full/0/default.jpg
Belmopan,"Belmopan () is the capital city of Belize. Its population in 2010 was 16,451. In addition to being t",https://xeno-canto.org/sounds/uploaded/QEUGALZODZ/XC751275-220326_0043_Tropical%20Kingbird_Belmopan.mp3
Ottawa,"Ottawa ( , ; Canadian French: [ɔtawɑ]) is the capital city of Canada. It is located in the southern ",https://xeno-canto.org/sounds/uploaded/JFXETMHJFU/XC549766-TASCAM_0007S12%281%29.mp3
"San José, Costa Rica","San José (Spanish: [saŋ xoˈse]; meaning ""Saint Joseph"") is the capital and largest city of Costa Ric",https://xeno-canto.org/sounds/uploaded/TNTQAOFHFM/XC732517-220408_0122%20White%20B%20wood%20wren.mp3
Havana,Havana (; Spanish: La Habana [la aˈβana] ) is the capital and largest city of Cuba. The heart of the,"https://cartotecadigital.icgc.cat/iiif/2/vistes:1785/full/730,/0/default.jpg"
Roseau,"Roseau (Dominican Creole: Wozo) is the capital and largest city of Dominica, with a population of 14",https://xeno-canto.org/sounds/uploaded/NEVUVCGXLA/XC450610-New%20Recording%203.mp3
Santo Domingo,"Santo Domingo (Spanish pronunciation: [ˈsanto ðoˈmiŋɡo] meaning ""Saint Dominic"" but verbatim ""Holy S",https://xeno-canto.org/sounds/uploaded/UUQDKTHTFK/XC767620-mosquitero_101_1_1_fade%5B1%5D.mp3
San Salvador,San Salvador (Spanish pronunciation: [san salβaˈðoɾ];) is the capital and the largest city of El Sal,https://xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/XC580603-CARCAR150720-T019%20%282%29.mp3
"St. George's, Grenada",St. George's (Grenadian Creole French: Sen Jòj) is the capital of Grenada. The city is surrounded by,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8493406b/f1/full/full/0/native.jpg
Guatemala City,"Guatemala City (Spanish: Ciudad de Guatemala), (also known nationally colloquially by the nickname a",https://xeno-canto.org/sounds/uploaded/NNXYLBUFHP/XC575608-20190708-064507_ed.mp3
Port-au-Prince,"Port-au-Prince ( PORT oh PRINSS; French: [pɔʁ o pʁɛ̃s] ; Haitian Creole: Pòtoprens, [pɔtopɣɛ̃s]) is ",https://collection.mobiliernational.culture.gouv.fr/media/xl/AZENTIS/2017/01/NO-35-000_15743.jpg
Tegucigalpa,"Tegucigalpa (UK:  US:  Spanish: [teɣusiˈɣalpa])—formally Tegucigalpa, Municipality of the Central Di",https://xeno-canto.org/sounds/uploaded/PWYNTPIIKC/XC778417-230204_0758.mp3
"Kingston, Jamaica","Kingston is the capital and largest city of Jamaica, located on the southeastern coast of the island","https://iiif.wellcomecollection.org/image/V0006997.jpg/full/512,/0/default.jpg"
Mexico City,"Mexico City is the capital and largest city of Mexico, and the most populous city in North America. ",https://xeno-canto.org/sounds/uploaded/ILUHRFXDNU/XC747192-Brown-throated%20Wren%20alarm%20bezares%20ago%2020%20810_0639.mp3
Managua,"Managua (Spanish pronunciation: [maˈnaɣwa]) is the capital and largest city of Nicaragua, and one of",https://xeno-canto.org/sounds/uploaded/XNQLEKWJLU/wave/XC389698-large.png
Panama City,"Panama City, also known as Panama (or Panamá in Spanish), is the capital and largest city of Panama.",https://xeno-canto.org/sounds/uploaded/QJDFZNFEFL/XC349882-Nota%20de%20voz%20003.mp3
Basseterre,Basseterre (; Saint Kitts Creole: Basterre) is the capital and largest city of Saint Kitts and Nevis,"http://gallica.bnf.fr/iiif/ark:/12148/btv1b5966011z/f1/full/512,/0/native.jpg"
Castries,"Castries ( ) is the capital and largest city of Saint Lucia, an island country in the Caribbean. The",https://xeno-canto.org/sounds/uploaded/AZXTZTQJRO/Zenaida_aurita_SL-Cast_19940423_S1_ATC.mp3
Kingstown,Kingstown  is the capital and largest city of Saint Vincent and the Grenadines. The city has the mai,https://xeno-canto.org/sounds/uploaded/YZXFVTFDSO/XC464086-SOSP%20JCP%203_19.mp3
Port of Spain,"Port of Spain, officially the City of Port of Spain (also stylized Port-of-Spain), is the capital of",https://xeno-canto.org/sounds/uploaded/PNYKOPBQBQ/Hpol08h48m24s19jun2009%20%282%29.mp3
"Washington, D.C.","Washington, D.C., formally the District of Columbia and commonly known as Washington or D.C., is the",https://xeno-canto.org/sounds/uploaded/OQSDEKCQSB/XC396201-LS100256.mp3
